KO_code	Transcripts
K03637	3.0
K17686	0.0
K03631	1.0
K03630	15.0
K00180	33.0
K02408	21.0
K03149	0.0
K03148	0.0
K03639	3.0
K03284	1.0
K06162	0.0
K06163	0.0
K10112	3.0
K06166	0.0
K06167	9.0
K02313	11.0
K06165	0.0
K06283	1.0
K03147	0.0
K06168	2.0
K00053	0.0
K06287	16.0
K08483	10.0
K00260	118.0
K00266	27.0
K01258	6.0
K01118	0.0
K05845	9.0
K05846	9.0
K05847	17.0
K04083	3.0
K06962	5.0
K03438	1.0
K01687	2.0
K01992	2.0
K01990	14.0
K02803	7.0
K11755	1.0
K04749	2.0
K01515	9.0
K01104	5.0
K11753	10.0
K02013	2.0
K05592	5.0
K00868	7.0
K02407	26.0
K07010	0.0
K02011	0.0
K00865	0.0
K13626	9.0
K01297	2.0
K02871	42.0
K01193	0.0
K05601	2.0
K02314	23.0
K07402	4.0
K01198	0.0
K14540	7.0
K14231	21.0
K11072	2.0
K00215	19.0
K01465	8.0
K01035	0.0
K01034	0.0
K04517	1.0
K01740	4.0
K06164	0.0
K02030	0.0
K02031	3.0
K02032	6.0
K02033	34.0
K02034	38.0
K02035	108.0
K02036	0.0
K02037	0.0
K01585	1.0
K16962	23.0
K16961	30.0
K00602	18.0
K07095	15.0
K00604	6.0
K00606	1.0
K07099	0.0
K07098	3.0
K01420	1.0
K07507	4.0
K00919	16.0
K01588	10.0
K01424	2.0
K01425	12.0
K07560	6.0
K10974	4.0
K07568	2.0
K13652	1.0
K07282	1.0
K04019	0.0
K03798	19.0
K11199	0.0
K11198	0.0
K14534	7.0
K07391	0.0
K07646	3.0
K03594	0.0
K03595	11.0
K03596	3.0
K03458	0.0
K03592	3.0
K02518	11.0
K03311	103.0
K02108	5.0
K02008	0.0
K03980	3.0
K11175	3.0
K01734	11.0
K06518	1.0
K02503	41.0
K01733	0.0
K01639	0.0
K15023	47.0
K01921	0.0
K03665	11.0
K01633	9.0
K01926	32.0
K01738	6.0
K15024	26.0
K07024	10.0
K07025	4.0
K07027	3.0
K03856	2.0
K00043	5.0
K00042	0.0
K07029	9.0
K07124	1.0
K03521	112.0
K02422	23.0
K03523	1.0
K02420	10.0
K06412	66.0
K06941	2.0
K03527	3.0
K03526	0.0
K03529	2.0
K03711	31.0
K06949	4.0
K07141	1.0
K02886	18.0
K03778	58.0
K02881	18.0
K09775	3.0
K07461	0.0
K09761	4.0
K02358	83.0
K01814	1.0
K05808	27.0
K01811	0.0
K02217	35.0
K02405	4.0
K06042	3.0
K02355	21.0
K02340	0.0
K02357	14.0
K02356	37.0
K13275	0.0
K00134	91.0
K04043	17.0
K04042	14.0
K00131	1.0
K01956	4.0
K02799	1.0
K01955	5.0
K01952	7.0
K01953	0.0
K01951	21.0
K03299	1.0
K00783	6.0
K00784	3.0
K07736	3.0
K07737	2.0
K00788	0.0
K00789	19.0
K03296	2.0
K00030	6.0
K03294	2.0
K03073	31.0
K03070	15.0
K03077	0.0
K03076	10.0
K03075	27.0
K00532	13.0
K01255	7.0
K07321	26.0
K03177	2.0
K06442	6.0
K05896	1.0
K05895	1.0
K06131	3.0
K03488	3.0
K01625	0.0
K00554	1.0
K01872	13.0
K12574	22.0
K00949	10.0
K00558	4.0
K12573	4.0
K01838	1.0
K01012	2.0
K01179	1.0
K01876	12.0
K07217	0.0
K01879	16.0
K00812	62.0
K03699	9.0
K00817	0.0
K00951	8.0
K00950	11.0
K03500	0.0
K00954	4.0
K07219	6.0
K02315	4.0
K08301	3.0
K08302	1.0
K08303	4.0
K09747	7.0
K08309	2.0
K01552	0.0
K05795	45.0
K05796	26.0
K06183	2.0
K05792	17.0
K06187	22.0
K01493	16.0
K02601	18.0
K02600	8.0
K05799	2.0
K01495	18.0
K04027	0.0
K02419	19.0
K01677	1.0
K02412	25.0
K03551	1.0
K02410	15.0
K02411	12.0
K02416	3.0
K02417	6.0
K10440	1.0
K10441	0.0
K11068	9.0
K01778	3.0
K01779	4.0
K02782	2.0
K02783	4.0
K01770	2.0
K02781	0.0
K01776	2.0
K01777	76.0
K01775	29.0
K07106	0.0
K07105	9.0
K07456	2.0
K02237	0.0
K16950	0.0
K16951	0.0
K02892	23.0
K02890	24.0
K02777	4.0
K10439	1.0
K02774	28.0
K02773	1.0
K14155	1.0
K03629	1.0
K02770	56.0
K07699	54.0
K06927	12.0
K02071	1.0
K02072	1.0
K02073	3.0
K02526	0.0
K02398	26.0
K02520	40.0
K02112	15.0
K03305	9.0
K02397	27.0
K02396	18.0
K02390	21.0
K02528	5.0
K02392	16.0
K00942	6.0
K06925	3.0
K01916	14.0
K01915	5.0
K01918	1.0
K05919	30.0
K03429	3.0
K06180	6.0
K03783	6.0
K05934	2.0
K00077	3.0
K00074	2.0
K00075	4.0
K03789	6.0
K01295	0.0
K03584	6.0
K00177	111.0
K00176	100.0
K00175	127.0
K00864	5.0
K03411	5.0
K03410	2.0
K03413	5.0
K03412	7.0
K02557	20.0
K02556	20.0
K07079	0.0
K07171	18.0
K00375	0.0
K02809	0.0
K02808	0.0
K03826	0.0
K03827	7.0
K01358	35.0
K00194	28.0
K00197	30.0
K00196	37.0
K03608	19.0
K03609	29.0
K07052	0.0
K06391	0.0
K00198	91.0
K06173	6.0
K02790	4.0
K02564	5.0
K06178	1.0
K06223	0.0
K07584	33.0
K15555	2.0
K15554	1.0
K15553	23.0
K09710	19.0
K09711	6.0
K13653	6.0
K02970	82.0
K01989	10.0
K03735	0.0
K03736	0.0
K03737	49.0
K03800	11.0
K04078	13.0
