Compound_code	Compound_name	Metabolite_score	Sim_Median	IQR_25	IQR_75	Lower_95_interval	Upper_95_interval	Relationshiop	Confidence
C05528	3-Sulfopyruvate	-2.807	-1.0	-3.087	0.0	-1.15423882796	-1.0	below	*
C05527	3-Sulfinylpyruvate	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C00027	Hydrogen_peroxide	0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C02876	Propanoyl_phosphate	-5.931	0.0	0.0	0.585	0.0	0.0292289324129	below	*
C16242	Cobalt-precorrin_5A	-1.585	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	below	*
C16243	Cobalt-precorrin_5B	0.0	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	none	n.s.
C06723	6-Carboxyhex-2-enoyl-CoA	3.322	0.0	0.0	2.322	0.0	0.116016377885	above	*
C00944	3-Dehydroquinate	-0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C02430	L-Methionyl-tRNA	-3.7	0.0	-2.0	1.585	-0.0999279740613	0.0791929194436	below	*
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-0.0	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	none	n.s.
C14819	Fe3+	-3.17	0.0	-2.0805	0.0	-0.103950075017	0.0	below	*
C14818	Fe2+	3.17	0.0	0.0	2.0805	0.0	0.103950075017	above	*
C00431	5-Aminopentanoate	-5.687	-1.161	-3.17	0.0	-1.31938583889	-1.161	below	*
C00437	N-Acetylornithine	0.0	0.0	-0.848	2.379	-0.042369461002	0.118864325146	none	n.s.
C01451	Salicin	0.0	0.0	0.0	2.322	0.0	0.116016377885	none	n.s.
C00438	N-Carbamoyl-L-aspartate	1.807	0.0	-0.585	0.585	-0.0292289324129	0.0292289324129	above	*
C00826	L-Arogenate	0.0	0.0	0.0	2.0	0.0	0.0999279740613	none	n.s.
C00534	Pyridoxamine	0.0	0.0	0.0	0.0	0.0	0.0	none	n.s.
C00469	Ethanol	3.248	1.322	0.0	3.02175	1.322	1.47297867781	above	*
C01181	4-Trimethylammoniobutanoate	0.0	0.0	-2.322	0.0	-0.116016377885	0.0	none	n.s.
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	0.0	0.0	-1.585	1.585	-0.0791929194436	0.0791929194436	none	n.s.
