Compound_code	Compound_name	Metabolite_score	p_value
C05528	3-Sulfopyruvate	-2.7	<0.01
C05527	3-Sulfinylpyruvate	0.0	n.s.
C00027	Hydrogen_peroxide	0.0	<0.01
C02876	Propanoyl_phosphate	-5.781	<0.01
C16242	Cobalt-precorrin_5A	-1.585	<0.01
C16243	Cobalt-precorrin_5B	0.0	n.s.
C06723	6-Carboxyhex-2-enoyl-CoA	3.17	<0.01
C00944	3-Dehydroquinate	-0.0	<0.01
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	0.0	<0.01
C02430	L-Methionyl-tRNA	-3.585	n.s.
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-0.0	n.s.
C14819	Fe3+	-3.0	<0.01
C14818	Fe2+	3.0	<0.01
C00431	5-Aminopentanoate	-5.539	<0.05
C00437	N-Acetylornithine	0.0	n.s.
C01451	Salicin	0.0	<0.01
C00438	N-Carbamoyl-L-aspartate	1.585	n.s.
C00826	L-Arogenate	0.0	<0.01
C00534	Pyridoxamine	0.0	n.s.
C00469	Ethanol	3.087	<0.01
C01181	4-Trimethylammoniobutanoate	0.0	<0.01
C04877	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	0.0	<0.05
C04874	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	0.0	<0.01
C01185	Nicotinate_D-ribonucleotide	1.322	<0.01
C15812	[Enzyme]-S-sulfanylcysteine	-2.0	n.s.
C15813	C15813	0.0	n.s.
C15810	C15810	0.0	n.s.
C15811	[Enzyme]-cysteine	2.322	<0.01
C15814	C15814	0.0	n.s.
C15815	C15815	0.0	<0.01
C16688	Sucrose_6-phosphate	0.0	<0.01
C05752	Octanoyl-[acp]	3.0	<0.01
C00794	D-Sorbitol	0.0	<0.01
C05840	Iminoaspartate	0.0	<0.01
C00886	L-Alanyl-tRNA	-2.0	<0.01
C00506	L-Cysteate	2.7	<0.01
C01233	sn-Glycero-3-phosphoethanolamine	0.0	<0.01
C00226	Primary_alcohol	3.087	<0.01
C00222	3-Oxopropanoate	0.0	n.s.
C00221	beta-D-Glucose	0.0	<0.01
C00385	Xanthine	0.543	<0.01
C00387	Guanosine	1.585	<0.01
C02504	alpha-Isopropylmalate	0.0	n.s.
C00229	Acyl-carrier_protein	-1.585	<0.01
C00499	Allantoate	0.0	<0.01
C00380	Cytosine	0.0	n.s.
C16396	2,4-Diamino-6-nitrotoluene	1.222	<0.01
C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	0.0	n.s.
C00546	Methylglyoxal	-1.0	<0.01
C16399	2,4-Diamino-6-hydroxylaminotoluene	-1.222	<0.01
C16217	3-Hydroxyoctadecanoyl-CoA	-0.0	<0.01
C02291	L-Cystathionine	0.0	<0.01
C00364	dTMP	-2.322	<0.05
C00365	dUMP	0.322	<0.05
C00362	dGMP	0.0	n.s.
C16244	Cobalt-precorrin_7	-0.0	<0.05
C00360	dAMP	0.0	n.s.
C00008	ADP	-4.719	<0.01
C00007	Oxygen	0.0	<0.01
C00006	NADP+	-0.0	<0.01
C00003	NAD+	0.0	<0.01
C00002	ATP	5.991	<0.01
C00369	Starch	0.0	<0.01
C05703	Methaneselenol	-1.807	<0.01
C06613	trans-3-Chloroallyl_aldehyde	-1.35	<0.01
C06507	Adenosyl_cobyrinate_hexaamide	0.0	n.s.
C16619	6-Thioguanosine_monophosphate	-3.7	<0.01
C11062	4-Hydroxybutyryl-CoA	0.0	<0.01
C02612	(R)-2-Methylmalate	0.0	<0.01
C16615	6-Methylthiopurine_5'-monophosphate_ribonucleotide	-3.322	<0.01
C16614	6-Methylmercaptopurine	3.322	<0.01
C00645	N-Acetyl-D-mannosamine	-4.304	<0.01
C00099	beta-Alanine	0.0	<0.01
C00311	Isocitrate	0.0	<0.01
C00310	D-Xylulose	-0.0	n.s.
C00641	1,2-Diacyl-sn-glycerol	0.0	n.s.
C01931	L-Lysyl-tRNA	-5.492	<0.01
C00315	Spermidine	0.0	n.s.
C00314	Pyridoxine	0.0	<0.01
C00091	Succinyl-CoA	1.766	<0.01
C00760	Cellulose	0.0	<0.01
C00093	sn-Glycerol_3-phosphate	0.341	<0.01
C00094	Sulfite	0.0	<0.01
C00095	D-Fructose	0.807	<0.01
C00096	GDP-mannose	0.0	n.s.
C00097	L-Cysteine	1.222	<0.01
C14099	2-Naphthaldehyde	-3.087	<0.01
C06311	Galactitol_1-phosphate	0.0	<0.01
C00433	2,5-Dioxopentanoate	0.0	<0.01
C14090	1-Naphthaldehyde	-3.087	<0.01
C14095	2-Hydroxy-3-carboxybenzalpyruvate	3.17	<0.01
C15667	5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole	2.0	<0.01
C14096	3-Formylsalicylic_acid	-3.17	<0.01
C02702	L-Prolyl-tRNA(Pro)	-3.585	<0.01
C04732	5-Amino-6-(1-D-ribitylamino)uracil	0.0	n.s.
C04734	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide	0.0	n.s.
C05172	Selenophosphoric_acid	0.0	<0.01
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA	0.0	<0.01
C11949	3-Isopropylbut-3-enoyl-CoA	0.0	<0.01
C05775	alpha-Ribazole	0.0	<0.05
C07118	Benzoyl_acetyl-CoA	0.0	<0.01
