Compound_code	Compound_name	Metabolite_score	Sim_Median	Sim_IQR_25	Sim_IQR_75	Sim_Lower_95_interval	Sim_Upper_95_interval	Significance
C05528	3-Sulfopyruvate	-9.344	-6.055	-7.285	-4.883	-6.170103	-5.9778486	*
C05527	3-Sulfinylpyruvate	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00027	Hydrogen_peroxide	-8.697	-5.426	-6.957	-3.907	-5.5359206	-5.3642694	n.s.
C02876	Propanoyl_phosphate	6.775	0.0	-5.022	5.15	-0.0793476	0.08137	n.s.
C16242	Cobalt-precorrin_5A	-1.585	0.0	-6.066	6.087	-0.0958428	0.0961746	n.s.
C16243	Cobalt-precorrin_5B	-1.585	0.0	-6.0	6.087	-0.0948	0.0961746	n.s.
C06723	6-Carboxyhex-2-enoyl-CoA	6.248	5.476	4.0	7.011	5.4128	5.5867738	n.s.
C00944	3-Dehydroquinate	-3.0	-5.492	-6.943	-4.0	-5.6016994	-5.4288	n.s.
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	5.248	5.459	4.0	6.919	5.3958	5.5683202	n.s.
C02430	L-Methionyl-tRNA	-4.524	0.0	-6.044	6.022	-0.0954952	0.0951476	n.s.
C04332	6,7-Dimethyl-8-(D-ribityl)lumazine	-3.17	0.0	-6.129	5.977	-0.0968382	0.0944366	n.s.
C14819	Fe3+	-8.752	-5.492	-7.022	-4.0	-5.6029476	-5.4288	n.s.
C14818	Fe2+	8.752	5.492	4.0	7.022	5.4288	5.6029476	n.s.
C00431	5-Aminopentanoate	-10.361	-6.055	-7.271	-4.907	-6.1698818	-5.9774694	*
C00437	N-Acetylornithine	3.907	3.661	-5.527	6.4185	3.5736734	3.7624123	n.s.
C01451	Salicin	4.17	5.426	4.0	6.943	5.3628	5.5356994	n.s.
C00438	N-Carbamoyl-L-aspartate	-5.129	0.0	-5.129	5.087	-0.0810382	0.0803746	n.s.
C00826	L-Arogenate	2.585	5.492	4.0	7.011	5.4288	5.6027738	n.s.
C00534	Pyridoxamine	0.0	0.0	0.0	0.0	0.0	0.0	n.s.
C00469	Ethanol	10.222	6.044	4.931	7.317	5.9660902	6.1596086	*
C01181	4-Trimethylammoniobutanoate	-2.585	-5.426	-6.931	-4.0	-5.5355098	-5.3628	n.s.
