mouse	cage	conventional_cfu	cefoperazone_cfu	clindamycin_cfu	streptomycin_cfu	gnotobiotic_cfu
1	1	100	60000000	44000000	120000000	50000000
2	1	100	50000000	84000000	10000000	80000000
3	1	100	80000000	34000000	70000000	70000000
4	2	100	50000000	77000000	300000000	80000000
5	2	100	50000000	42000000	270000000	190000000
6	2	100	100000000	47000000	180000000	180000000
7	3	100	10000000	12000000	10000000	120000000
8	3	100	50000000	30000000	20000000	100000000
9	3	100	20000000	38000000	30000000	80000000
10	4	NA	0	0	0	NA
11	4	NA	0	0	0	NA
12	4	NA	0	0	0	NA
13	5	NA	0	0	0	NA
14	5	NA	0	0	0	NA
15	5	NA	0	0	0	NA
16	6	NA	0	0	0	NA
17	6	NA	0	0	0	NA
18	6	NA	0	0	0	NA
