Cefoperazone	Clindamycin	Streptomycin	ko	gene	pathway	grouping	KEGG_code
41	43	62	K00790	murA;_UDP-N-acetylglucosamine_1-carboxyvinyltransferase_(EC:2.5.1.7)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Peptidoglycan_biosynthesis;Metabolism;Glycan_biosynthesis_and_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_01230
76	57	186	K02563	murG;_UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)_pyrophosphoryl-undecaprenol_N-acetylglucosamine_transferase_(EC:2.4.1.227)	Peptidoglycan_biosynthesis;Metabolism;Glycan_biosynthesis_and_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_26510
60	29	67	K01925	murD;_UDP-N-acetylmuramoylalanine--D-glutamate_ligase_(UDP-N-acetylmuramoyl-L-alanyl-D-glutamate_synthetase)_(D-glutamic_acid-adding_enzyme)_(EC:6.3.2.9)	D-Glutamine_and_D-glutamate_metabolism;Metabolism;Metabolism_of_other_amino_acids|Peptidoglycan_biosynthesis;Metabolism;Glycan_biosynthesis_and_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_26530
31	17	32	K01929	murF;_UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine_ligase_(EC:6.3.2.10)	Lysine_biosynthesis;Metabolism;Amino_acid_metabolism|Peptidoglycan_biosynthesis;Metabolism;Glycan_biosynthesis_and_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_26550
24	27	15	K01928	murE;_UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate_ligase_(EC:6.3.2.13)	Lysine_biosynthesis;Metabolism;Amino_acid_metabolism|Peptidoglycan_biosynthesis;Metabolism;Glycan_biosynthesis_and_metabolism	Amino sugar catabolism	cdf:CD630_26640
29	20	27	K00075	murB;_UDP-N-acetylenolpyruvoylglucosamine_reductase_(EC:1.1.1.158)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Peptidoglycan_biosynthesis;Metabolism;Glycan_biosynthesis_and_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_34020
121	54	105	K01924	murC;_UDP-N-acetylmuramate--L-alanine_ligase_(EC:6.3.2.8)	D-Glutamine_and_D-glutamate_metabolism;Metabolism;Metabolism_of_other_amino_acids|Peptidoglycan_biosynthesis;Metabolism;Glycan_biosynthesis_and_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_35180
24	7	14	K01776	murI;_glutamate_racemase_(EC:5.1.1.3)	D-Glutamine_and_D-glutamate_metabolism;Metabolism;Metabolism_of_other_amino_acids|Metabolic_pathways;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_35620
67	8	53	none	nagA;_N-acetylglucosamine-6-phosphate_deacetylase_(EC:3.5.1.25)	none	Amino sugar catabolism	cdf:CD630_10100
111	13	76	K02564	nagB;_glucosamine-6-phosphate_deaminase_(EC:3.5.99.6)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Amino sugar catabolism	cdf:CD630_10110
