KO	cefoperazone-pretreated	clindamycin-pretreated	streptomycin-pretreated	ex-germfree	gene_name	CD630_genes	pathways	enzymatic_reactions	chemical_formulas
K00001	7	6	6	0	alcohol_dehydrogenase_[EC:1.1.1.1]	cdf:CD630_28430	Glycolysis_/_Gluconeogenesis,Fatty_acid_degradation,Tyrosine_metabolism,Chloroalkane_and_chloroalkene_degradation,Naphthalene_degradation,Retinol_metabolism,Metabolism_of_xenobiotics_by_cytochrome_P450,Drug_metabolism_-_cytochrome_P450,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Degradation_of_aromatic_compounds	R00623,R00754,R02124,R04880,R05233,R05234,R06917,R06927,R07105,R08281,R08306,R08310	C00226<=>C00071,C00469<=>C00084,C00473<=>C00376,C05576<=>C05577,C05577<=>C05576,C06611=>C06613,C06613<=>C06611,C06611<=>C06613,C06612=>C16348,C16348<=>C06612,C06612<=>C16348,C14089=>C14090,C14089<=>C14090,C02909=>C14099,C02909<=>C14099,C06899=>C07490,C07645=>C16551,C16586=>C16587,C16595=>C16596
K00003	2	1	2	0	homoserine_dehydrogenase_[EC:1.1.1.3]	cdf:CD630_11660,cdf:CD630_15800	Glycine,_serine_and_threonine_metabolism,Cysteine_and_methionine_metabolism,Lysine_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Biosynthesis_of_amino_acids	R01773,R01775	C00263<=>C00441,C00441=>C00263,C00263<=>C00441,C00441=>C00263
K00008	16	24	157	0	L-iditol_2-dehydrogenase_[EC:1.1.1.14]	cdf:CD630_04900,cdf:CD630_23230,cdf:CD630_23240	Fructose_and_mannose_metabolism,Metabolic_pathways	R00875	C00794<=>C00095
K00009	110	2	45	6	mannitol-1-phosphate_5-dehydrogenase_[EC:1.1.1.17]	cdf:CD630_23310	Fructose_and_mannose_metabolism	R02703	C00644<=>C05345
K00012	14	7	4	1	UDPglucose_6-dehydrogenase_[EC:1.1.1.22]	cdf:CD630_27710	Pentose_and_glucuronate_interconversions,Ascorbate_and_aldarate_metabolism,Starch_and_sucrose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R00286	C00029<=>C00167,C00029=>C00167
K00013	2	2	1	0	histidinol_dehydrogenase_[EC:1.1.1.23]	cdf:CD630_15820	Histidine_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R01158,R01163,R03012	C00860=>C00135,C01929=>C00135,C01929<=>C00135,C00860=>C01929,C00860<=>C01929
K00014	2	1	1	2	shikimate_dehydrogenase_[EC:1.1.1.25]	cdf:CD630_18370,cdf:CD630_27080	Phenylalanine,_tyrosine_and_tryptophan_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R02413	C00493<=>C02637,C02637<=>C00493,C02637=>C00493
K00016	4	10	17	0	L-lactate_dehydrogenase_[EC:1.1.1.27]	cdf:CD630_21640	Glycolysis_/_Gluconeogenesis,Cysteine_and_methionine_metabolism,Pyruvate_metabolism,Propanoate_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments	R00703,R01000,R03104	C00186<=>C00022,C00022<=>C00186,C05984=>C00109,C00957=>C05823
K00019	0	18	3	0	3-hydroxybutyrate_dehydrogenase_[EC:1.1.1.30]	cdf:CD630_26790	Synthesis_and_degradation_of_ketone_bodies,Butanoate_metabolism,Metabolic_pathways	R01361	C01089<=>C00164
K00027	4	3	2	1	malate_dehydrogenase_(oxaloacetate-decarboxylating)_[EC:1.1.1.38]	cdf:CD630_10050	Pyruvate_metabolism,Carbon_metabolism,Two-component_system	R00214	C00149<=>C00022,C00149=>C00022,C00149<=>C00022+C00011
K00030	4	0	2	0	isocitrate_dehydrogenase_(NAD+)_[EC:1.1.1.41]	cdf:CD630_08340	Citrate_cycle_(TCA_cycle),Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R00709	C00311<=>C00026,C00026<=>C00311,C00311=>C00026
K00042	0	0	2	0	2-hydroxy-3-oxopropionate_reductase_[EC:1.1.1.60]	cdf:CD630_28130	Glyoxylate_and_dicarboxylate_metabolism,Metabolic_pathways	R01745,R01747	C00258<=>C01146,C00258<=>C01146
K00043	30	74	70	0	4-hydroxybutyrate_dehydrogenase_[EC:1.1.1.61]	cdf:CD630_23380	Butanoate_metabolism	R01644	C00989<=>C00232
